Gmt time,Open,High,Low,Close,Volume
27.09.2021 00:00:00.000,28.148,28.368,27.218,27.468,1057.485
28.09.2021 00:00:00.000,26.898,27.108,25.208,25.348,1258.165
29.09.2021 00:00:00.000,25.597,25.688,24.408,24.518,1315.775
30.09.2021 00:00:00.000,24.598,25.038,23.878,24.038,1469.845
01.10.2021 00:00:00.000,24.208,24.348,23.707,24.328,986.945
04.10.2021 00:00:00.000,24.008,24.038,23.008,23.158,1047.355
05.10.2021 00:00:00.000,23.158,23.868,23.067,23.207,926.11
06.10.2021 00:00:00.000,24.878,24.928,23.348,23.568,2223.12
07.10.2021 00:00:00.000,23.718,24.118,23.538,23.708,723.58
08.10.2021 00:00:00.000,23.788,24.078,23.107,23.487,722.22
11.10.2021 00:00:00.000,23.258,23.968,23.258,23.508,598.85
12.10.2021 00:00:00.000,23.488,23.788,23.288,23.668,795.42
13.10.2021 00:00:00.000,23.688,24.298,23.688,24.108,908.885
14.10.2021 00:00:00.000,24.428,24.698,24.198,24.328,504.245
15.10.2021 00:00:00.000,24.498,24.518,23.827,23.968,468.075
18.10.2021 00:00:00.000,23.938,24.378,23.898,24.238,511.295
19.10.2021 00:00:00.000,24.478,25.188,24.348,24.668,664.165
20.10.2021 00:00:00.000,24.758,24.948,24.168,24.208,576.25
21.10.2021 00:00:00.000,24.098,24.918,24.078,24.758,443.875
22.10.2021 00:00:00.000,24.488,24.838,24.247,24.408,630.085
25.10.2021 00:00:00.000,24.468,25.528,24.468,25.388,800.39
26.10.2021 00:00:00.000,25.898,26.728,25.248,25.498,1217.585
27.10.2021 00:00:00.000,25.658,25.888,25.008,25.048,706.265
28.10.2021 00:00:00.000,25.288,25.788,25.108,25.618,729.2725
29.10.2021 00:00:00.000,25.408,26.108,25.407,25.878,553.46
01.11.2021 00:00:00.000,26.098,26.638,25.878,26.528,811.905
02.11.2021 00:00:00.000,26.558,26.708,25.548,25.897,805.355
03.11.2021 00:00:00.000,25.777,26.228,25.158,26.098,1011.58
04.11.2021 00:00:00.000,26.198,26.558,25.858,26.468,853.03
05.11.2021 00:00:00.000,26.408,26.628,25.718,25.988,799.855
08.11.2021 00:00:00.000,26.168,27.098,26.117,26.718,928.1
09.11.2021 00:00:00.000,25.888,25.958,23.947,24.227,1670.24
10.11.2021 00:00:00.000,23.598,23.608,22.117,22.508,773.053067
11.11.2021 00:00:00.000,22.998,23.118,22.658,22.978,613.418504
12.11.2021 00:00:00.000,23.018,23.218,22.377,22.798,406.761614
15.11.2021 00:00:00.000,22.938,23.508,22.938,23.397,417.822151
16.11.2021 00:00:00.000,23.018,23.208,22.608,23.118,325.268306
17.11.2021 00:00:00.000,23.028,23.208,22.397,22.498,392.27958
18.11.2021 00:00:00.000,22.488,22.538,21.338,21.488,598.120106
19.11.2021 00:00:00.000,21.608,21.938,21.297,21.398,522.306488
22.11.2021 00:00:00.000,21.508,21.518,20.177,20.648,674.598462
23.11.2021 00:00:00.000,20.587,21.038,20.048,20.588,730.16917
24.11.2021 00:00:00.000,20.318,21.188,20.057,21.088,711.618956
26.11.2021 00:00:00.000,20.388,21.078,20.347,21.048,731.973872
29.11.2021 00:00:00.000,21.158,21.378,20.557,21.088,676.811158
30.11.2021 00:00:00.000,20.868,21.238,20.098,20.588,1122.312672
01.12.2021 00:00:00.000,20.548,20.878,19.288,19.368,1003.951564
02.12.2021 00:00:00.000,19.308,19.898,19.048,19.668,1460.046068
03.12.2021 00:00:00.000,19.448,19.518,18.398,18.948,1401.94386
06.12.2021 00:00:00.000,18.368,18.958,18.068,18.788,138.0575
07.12.2021 00:00:00.000,19.117,19.848,19.067,19.438,819.642682
08.12.2021 00:00:00.000,19.488,19.818,19.018,19.808,862.27
09.12.2021 00:00:00.000,19.907,20.138,19.038,19.198,702.3575
10.12.2021 00:00:00.000,19.218,19.568,18.688,18.918,754.1325
13.12.2021 00:00:00.000,18.778,19.068,18.167,18.388,978.06
14.12.2021 00:00:00.000,17.948,18.848,17.908,18.628,1095.7025
15.12.2021 00:00:00.000,18.288,18.928,17.988,18.848,1055.06
16.12.2021 00:00:00.000,18.928,19.108,18.147,18.338,1205.97
17.12.2021 00:00:00.000,17.978,19.088,17.808,19.058,1477.1
20.12.2021 00:00:00.000,18.348,18.658,17.827,17.938,1231.28
21.12.2021 00:00:00.000,18.108,18.968,18.097,18.897,625.63
22.12.2021 00:00:00.000,18.598,19.438,18.598,18.858,783.86
23.12.2021 00:00:00.000,18.848,19.128,18.717,18.968,480.87
27.12.2021 00:00:00.000,18.748,19.238,18.748,18.937,497.105
28.12.2021 00:00:00.000,18.878,19.068,18.438,18.568,494.405
29.12.2021 00:00:00.000,18.448,18.588,17.898,18.157,578.575
30.12.2021 00:00:00.000,18.028,18.978,18.028,18.668,592.83
31.12.2021 00:00:00.000,18.598,18.908,18.207,18.208,599.46
03.01.2022 00:00:00.000,18.388,18.558,17.868,18.498,936.185
04.01.2022 00:00:00.000,18.578,18.828,17.788,18.168,710.01
05.01.2022 00:00:00.000,18.028,18.558,16.858,16.938,889.27
06.01.2022 00:00:00.000,16.868,17.168,16.047,16.728,1229.62236
07.01.2022 00:00:00.000,16.658,17.318,16.467,16.558,791.9827
10.01.2022 00:00:00.000,16.068,16.558,15.348,16.498,1070.46188
11.01.2022 00:00:00.000,16.328,17.238,16.308,16.878,1249.62
12.01.2022 00:00:00.000,17.068,17.448,16.398,16.708,804.772456
13.01.2022 00:00:00.000,16.778,16.798,15.938,15.998,749.388946
14.01.2022 00:00:00.000,15.888,16.238,15.617,16.017,960.24
18.01.2022 00:00:00.000,15.398,15.747,14.918,14.948,821.397568
19.01.2022 00:00:00.000,14.888,15.238,14.537,14.548,980.664407
20.01.2022 00:00:00.000,14.728,15.538,14.568,14.608,907.635
21.01.2022 00:00:00.000,14.237,14.468,13.498,13.528,1363.1044
24.01.2022 00:00:00.000,12.608,13.388,11.747,13.378,1677.308
25.01.2022 00:00:00.000,13.028,13.588,12.828,13.058,1267.562
26.01.2022 00:00:00.000,13.558,13.807,12.668,12.728,1211.55429
27.01.2022 00:00:00.000,12.998,13.048,12.198,12.288,1027.4123
28.01.2022 00:00:00.000,12.288,12.868,11.898,12.687,891.36022
31.01.2022 00:00:00.000,12.688,13.728,12.648,13.708,801.03242
01.02.2022 00:00:00.000,14.217,14.358,13.578,14.218,992.78007
02.02.2022 00:00:00.000,13.998,14.178,13.188,13.298,893.50778
03.02.2022 00:00:00.000,12.928,13.288,12.418,12.447,787.292
04.02.2022 00:00:00.000,12.438,13.077,12.248,12.947,940.794
07.02.2022 00:00:00.000,12.928,13.588,12.927,12.938,848.04
08.02.2022 00:00:00.000,12.698,13.178,12.547,13.148,696.18
09.02.2022 00:00:00.000,13.258,13.878,13.248,13.858,670.16
10.02.2022 00:00:00.000,13.428,14.158,13.368,13.548,1168.39
11.02.2022 00:00:00.000,13.408,13.908,12.967,13.138,1259.7
14.02.2022 00:00:00.000,12.988,13.788,12.978,13.258,1042.506
15.02.2022 00:00:00.000,13.508,14.177,13.397,14.148,881.039
16.02.2022 00:00:00.000,13.878,14.248,13.648,13.968,947.68
17.02.2022 00:00:00.000,12.388,12.688,11.747,11.758,707.402
18.02.2022 00:00:00.000,11.918,11.998,10.568,10.998,669.69
22.02.2022 00:00:00.000,10.678,11.178,10.298,10.458,599.24
23.02.2022 00:00:00.000,10.748,11.248,10.398,10.418,801.172
24.02.2022 00:00:00.000,9.728,11.858,9.728,11.818,1440.32
25.02.2022 00:00:00.000,11.498,11.878,10.998,11.448,879.922
28.02.2022 00:00:00.000,11.798,12.168,11.388,11.818,1097.29
01.03.2022 00:00:00.000,11.897,12.508,11.707,12.188,1254.032
02.03.2022 00:00:00.000,12.047,12.138,11.417,12.048,883.54
03.03.2022 00:00:00.000,11.978,12.038,11.228,11.328,791.99
04.03.2022 00:00:00.000,11.668,11.728,10.737,10.918,673.22
